MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Maspujols	593	347	346	1	327	12	7						
Montbrió	del	Camp	1.996	1.016	1.007	9	968	29	10				
Mont-roig	del	Camp	7.036	1.15	1.135	15	1.046	79	10				
Prades	451	436	432	4	423	6	3						
Pratdip	419	369	366	3	344	11	11						
Reus	70.482	25.715	25.595	120	23.521	1.659	415						
Riudecanyes	743	557	554	3	530	19	5						
Riudecols	907	523	519	4	472	33	14						
Riudoms	4.58	2.172	2.172	0	2.074	81	17						
Vandellòs	i	l'Hospitalet	de	l'Infant	4.346	1.531	1.52	11	1.438	74	8		
Vilanova	d'Escornalbou	375	354	354	0	335	15	4					
Vilaplana	450	439	436	3	408	21	7						
Vinyols	i	els	Arcs	1.35	363	363	0	353	8	2			
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aldover	681	370	369	1	355	10	4						
Alfara	de	Carles	307	142	141	1	134	6	1				
Benifallet	600	372	368	4	334	26	8						
Camarles	2.392	1.38	1.376	4	1.302	46	28						
Deltebre	8.737	5.257	5.215	42	5.01	170	35						
El	Perelló	1.783	1.232	1.229	3	1.201	20	8					
L'Aldea	2.9	1.691	1.681	10	1.517	135	29						
L'Ametlla	de	Mar	4.411	2.2	2.186	14	2.101	55	30				
L'Ampolla	2.102	1.392	1.377	15	1.311	63	3						
Paüls	480	321	312	9	278	26	8						
Roquetes	5.666	1.86	1.847	13	1.719	103	25						
Tivenys	686	409	408	1	366	27	15						
Tortosa	22.873	11.752	11.62	132	10.711	744	165						
Xerta	938	669	667	2	624	37	6						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Albons	512	390	390	0	366	15	9						
Begur	2.787	1.583	1.575	8	1.443	94	38						
Bellcaire	d'Empordà	480	285	284	1	274	9	1					
Calonge	6.931	2.888	2.879	9	2.755	93	31						
Castell-Platja	d'Aro	6.241	3.234	3.198	36	2.962	199	37					
Colomers	150	115	114	1	110	2	2						
Corçà	968	675	665	10	641	14	10						
"Cruïlles,"	Monells	i	Sant	Sadurní	de	l'Heura	987	758	751	7	723	20	8
Foixà	245	178	177	1	172	2	3						
Fontanilles	111	183	183	0	175	7	1						
Forallac	1.357	1.243	1.238	5	1.182	37	19						
Garrigoles	124	103	103	0	99	4	0						
Gualta	246	178	176	2	175	1	0						
Jafre	301	294	293	1	290	2	1						
La	Bisbal	d'Empordà	6.91	3.708	3.689	19	3.563	88	38				
La	Pera	325	301	299	2	293	5	1					
La	Tallada	d'Empordà	329	-	-	-	-	-	-				
Mont-ras	1.322	764	756	8	677	68	11						
Palafrugell	14.353	6.855	6.805	50	6.281	437	87						
Palamós	12.711	6.421	6.394	27	5.99	341	63						
Palau-sator	224	145	144	1	142	2	0						
Pals	1.607	1.061	1.059	2	1.009	38	12						
Parlavà	311	278	277	1	270	3	4						
Regencós	206	159	157	2	149	7	1						
Rupià	188	191	190	1	188	1	1						
Sant	Feliu	de	Guíxols	14.747	5.421	5.413	8	5.146	216	51			
Santa	Cristina	d'Aro	3.372	2.222	2.207	15	2.034	131	42				
Serra	de	Daró	141	132	130	2	128	0	2				
Torrent	132	103	103	0	94	7	2						
Torroella	de	Montgrí	6.853	4.004	3.985	19	3.785	152	48				
Ullà	572	346	344	2	331	8	5						
Ullastret	208	245	244	1	236	1	7						
Ultramort	153	121	119	2	117	1	1						
Vall-llobrega	630	418	415	3	393	15	7						
Verges	830	859	856	3	825	18	13						
Vilopriu	152	126	126	0	122	3	1						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Abrera	8.907	2.69	2.664	26	2.202	392	70						
Begues	4.926	2.875	2.828	47	2.58	187	61						
Castelldefels	42.14	12.325	12.174	151	10.14	1.675	359						
Castellví	de	Rosanes	1.365	860	851	9	764	77	10				
Cervelló	6.718	2.966	2.934	32	2.65	248	36						
Collbató	3.169	1.876	1.864	12	1.715	107	42						
Corbera	de	Llobregat	10.259	4.88	4.834	46	4.375	363	96				
Cornellà	de	Llobregat	61.814	13.472	13.312	160	11.006	2.086	220				
El	Papiol	3.082	1.719	1.7	19	1.53	144	26					
El	Prat	de	Llobregat	47.759	12.94	12.815	125	10.414	2.056	345			
Esparreguera	16.169	6.568	6.526	42	5.861	537	128						
Esplugues	de	Llobregat	34.508	11.563	11.414	149	9.097	2.011	306				
Gavà	33.85	9.461	9.323	138	7.966	1.205	152						
La	Palma	de	Cervelló	2.346	1.541	1.531	10	1.385	114	32			
Martorell	18.292	7.567	7.468	99	6.386	932	150						
Molins	de	Rei	19.14	10.25	10.164	86	9.112	854	198				
Olesa	de	Montserrat	16.967	7.761	7.689	72	6.793	739	157				
Pallejà	8.382	3.471	3.444	27	2.921	435	88						
Sant	Andreu	de	la	Barca	19.233	2.865	2.783	82	2.361	366	56		
Sant	Boi	de	Llobregat	61.409	18.229	18.015	214	14.674	2.947	394			
Sant	Climent	de	Llobregat	3.055	1.84	1.821	19	1.604	185	32			
Sant	Esteve	Sesrovires	5.732	2.556	2.541	15	2.277	200	64				
Sant	Feliu	de	Llobregat	33.081	11.327	11.185	142	9.498	1.374	313			
Sant	Joan	Despí	24.989	8.467	8.349	118	6.969	1.13	250				
Sant	Just	Desvern	12.368	6.46	6.393	67	5.682	506	205				
Sant	Vicenç	dels	Horts	20.972	6.53	6.487	43	5.6	768	119			
Santa	Coloma	de	Cervelló	5.851	2.928	2.894	34	2.504	286	104			
Torrelles	de	Llobregat	4.338	2.782	2.763	19	2.547	168	48				
Vallirana	10.87	4.105	4.06	45	3.548	438	74						
Viladecans	48.557	11.75	11.674	76	9.3	2.084	290						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Albinyana	1.801	645	633	12	572	50	11						
Banyeres	del	Penedès	2.215	866	848	18	764	74	10				
Bellvei	1.537	739	727	12	638	75	14						
Bonastre	427	260	259	1	240	13	6						
Calafell	16.781	5.322	5.29	32	4.779	432	79						
Cunit	8.512	2.393	2.37	23	2.062	265	43						
El	Montmell	1.076	257	254	3	230	18	6					
El	Vendrell	25.248	7.73	7.643	87	6.944	584	115					
La	Bisbal	del	Penedès	2.688	1.117	1.098	19	1.02	74	4			
L'Arboç	3.416	1.235	1.201	34	1.109	89	3						
Llorenç	del	Penedès	1.754	1.143	1.139	4	1.075	55	9				
Masllorenç	364	328	324	4	317	3	4						
Sant	Jaume	dels	Domenys	1.868	843	835	8	784	42	9			
Santa	Oliva	2.367	654	650	4	611	36	3					
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Badalona	155.409	54.878	54.361	517	45.419	7.723	1.219						
Barcelona	1.136.354	446.388	441.237	5.151	389.777	37.975	13.485						
L'Hospitalet	de	Llobregat	174.622	40.387	40.04	347	33.156	5.793	1.091				
Sant	Adrià	de	Besòs	25.66	6.223	6.122	101	5.007	1.015	100			
Santa	Coloma	de	Gramenet	78.562	16.445	16.17	275	12.772	2.971	427			
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
